# frame,type,x,y
240,Alien2,740,82
275,Alien2,780,449
310,Alien2,820,210
345,Alien2,860,195
420,Alien1,740,116
440,Alien1,790,161
460,Alien1,840,206
480,Alien1,890,251
600,Alien2,740,416
635,Alien2,780,449
670,Alien2,820,526
705,Alien2,860,349
780,Alien1,740,347
800,Alien1,790,392
820,Alien1,840,437
840,Alien1,890,482
900,PowerUp-SpeedUp,760,151
960,Alien2,740,60
975,Alien1,785,71
990,Alien2,830,106
1005,Alien1,875,141
1020,Alien2,920,176
1140,Alien1,740,92
1160,Alien1,790,137
1180,Alien1,840,182
1200,Alien1,890,227
1320,Alien1,740,164
1340,Alien1,790,209
1360,Alien1,840,254
1380,Alien1,890,299
1500,Alien2,740,83
1500,PowerUp-MultiShot,760,217
1535,Alien2,780,357
1570,Alien2,820,171
1605,Alien2,860,436
1680,Alien2,740,349
1715,Alien2,780,284
1750,Alien2,820,182
1785,Alien2,860,299
1860,Alien2,740,484
1895,Alien2,780,515
1930,Alien2,820,73
1965,Alien2,860,458
2040,Alien1,740,402
2060,Alien1,790,447
2080,Alien1,840,492
2100,Alien1,890,537
2220,Alien2,740,194
2235,Alien1,785,229
2250,Alien2,830,264
2265,Alien1,875,299
2280,Alien2,920,334
2400,Alien2,740,99
2415,Alien1,785,134
2430,Alien2,830,169
2445,Alien1,875,204
2460,Alien2,920,239
2580,Alien1,740,435
2600,Alien1,790,480
2620,Alien1,840,525
2640,Alien1,890,570
2760,Alien2,740,72
2775,Alien1,785,107
2790,Alien2,830,142
2805,Alien1,875,177
2820,Alien2,920,212
2940,Alien1,740,239
2960,Alien1,790,284
2980,Alien1,840,329
3000,Alien1,890,374
3120,Alien1,740,228
3140,Alien1,790,273
3160,Alien1,840,318
3180,Alien1,890,363
3300,Alien2,740,329
3300,PowerUp-SpeedUp,760,326
3315,Alien1,785,364
3330,Alien2,830,399
3345,Alien1,875,434
3360,Alien2,920,469
3480,Alien2,740,433
3495,Alien1,785,468
3510,Alien2,830,503
3525,Alien1,875,538
3540,Alien2,920,570
3660,Alien1,740,418
3680,Alien1,790,463
3700,Alien1,840,508
3720,Alien1,890,553
3840,Alien2,740,294
3855,Alien1,785,329
3870,Alien2,830,364
